,id_left,text_left,id_right,text_right,label
54,Q13,how big is the purdue greek system,D13-2,"Purdue was founded on May 6, 1869, as a land-grant university when the Indiana General Assembly , taking advantage of the Morrill Act , accepted a donation of land and money from Lafayette businessman John Purdue to establish a college of science, technology, and agriculture in his name.",0.0
55,Q13,how big is the purdue greek system,D13-3,"The first classes were held on September 16, 1874, with six instructors and 39 students.",0.0
56,Q13,how big is the purdue greek system,D13-4,"Today, Purdue is a member of the Big Ten Conference , and is a well known world-class research institution.",0.0
57,Q13,how big is the purdue greek system,D13-5,Purdue enrolls the second largest student body of any university in Indiana as well as the fourth largest international student population of any university in the United States.,0.0
58,Q13,how big is the purdue greek system,D13-6,"Purdue offers both undergraduate and graduate programs in over 211 major areas of study, and is well known for its competitive engineering curricula.",0.0
59,Q13,how big is the purdue greek system,D13-7,"The university has also been highly influential in America's history of aviation , having established the first college credit offered in flight training , the first four-year bachelor's degree in aviation, and the first university airport ( Purdue University Airport ).",0.0
60,Q13,how big is the purdue greek system,D13-8,Purdue's aviation technology program remains one of the most competitive aviation-specific programs in the world.,0.0
61,Q13,how big is the purdue greek system,D13-9,"In the mid-20th century, Purdue's aviation program expanded to encompass advanced spaceflight technology giving rise to Purdue's nickname, Cradle of Astronauts.",0.0
62,Q13,how big is the purdue greek system,D13-10,"Twenty-three Purdue graduates have gone on to become astronauts, including Gus Grissom (one of the original Mercury Seven astronauts), Neil Armstrong (the first person to walk on the moon), and Eugene Cernan (the most recent person to walk on the moon).",0.0
63,Q14,how big do sebaceous cysts get,D14-0,A sebaceous cyst () is a term that loosely refers to either epidermoid cysts (also known as epidermal cysts; L72.0 ) or pilar cysts (also known as trichilemmal cysts; L72.1 ).,0.0
64,Q14,how big do sebaceous cysts get,D14-1,"Because an epidermoid cyst originates in the epidermis and a pilar cyst originates from hair follicles , by definition, neither type of cyst is strictly a sebaceous cyst.",0.0
65,Q14,how big do sebaceous cysts get,D14-2,"The name is regarded as a misnomer as the fatty, white, semi-solid material in both of these cyst entities is not sebum , but keratin .",0.0
66,Q14,how big do sebaceous cysts get,D14-3,"Furthermore, under the microscope neither entity contains sebaceous glands .",0.0
67,Q14,how big do sebaceous cysts get,D14-4,"In practice, however, the terms are often used interchangeably.",0.0
68,Q14,how big do sebaceous cysts get,D14-5,"""True"" sebaceous cysts are relatively rare and are known as steatocystomas or, if multiple, as steatocystoma multiplex .",0.0
69,Q15,how are pointe shoes made,D15-0,Modern pointe shoes.,0.0
70,Q15,how are pointe shoes made,D15-1,"The edge of the toe pad, which is inserted between the foot and toe box for cushioning, can be seen on the right foot.",0.0
71,Q15,how are pointe shoes made,D15-2,A pointe shoe is a type of shoe worn by ballet dancers when performing pointe work .,0.0
72,Q15,how are pointe shoes made,D15-3,Pointe shoes developed from the desire for dancers to appear weightless and sylph -like and have evolved to enable dancers to dance en pointe (on the tips of their toes) for extended periods of time.,0.0
73,Q15,how are pointe shoes made,D15-4,"They are normally worn by female dancers, though male dancers may wear them for unorthodox roles such as the ugly stepsisters in Cinderella , Bottom in A Midsummer Night's Dream , or men performing as women in dance companies such as Les Ballets Trockadero and Grandiva.",0.0
74,Q15,how are pointe shoes made,D15-5,"They are manufactured in a variety of colors, most commonly in shades of light pink.",0.0
75,Q16,how much is 1 tablespoon of water,D16-0,This tablespoon has a capacity of about 15 mL.,1.0
76,Q16,how much is 1 tablespoon of water,D16-1,Measuring Spoons,0.0
77,Q16,how much is 1 tablespoon of water,D16-2,"In the US and parts of Canada, a tablespoon is the largest type of spoon used for eating from a bowl.",0.0
78,Q16,how much is 1 tablespoon of water,D16-3,"In the UK, Europe and most Commonwealth countries, a tablespoon is a type of large spoon usually used for serving.",0.0
79,Q16,how much is 1 tablespoon of water,D16-4,"In countries where a tablespoon is a serving spoon, the nearest equivalent to the US tablespoon is either the dessert spoon or the soup spoon .",0.0
80,Q16,how much is 1 tablespoon of water,D16-5,"A tablespoonful, nominally the capacity of one tablespoon, is commonly used as a measure of volume in cooking .",0.0
81,Q16,how much is 1 tablespoon of water,D16-6,"It is abbreviated as T, tb, tbs, tbsp, tblsp, or tblspn.",0.0
82,Q16,how much is 1 tablespoon of water,D16-7,The capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation.,0.0
83,Q16,how much is 1 tablespoon of water,D16-8,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,1.0
84,Q16,how much is 1 tablespoon of water,D16-9,In Australia one tablespoon (measurement unit) is 20 mL.,1.0
85,Q17,how much are the harry potter movies worth,D17-0,Harry Potter is a series of seven fantasy novels written by the British author J. K. Rowling .,0.0
86,Q17,how much are the harry potter movies worth,D17-1,"The books chronicle the adventures of a wizard , Harry Potter , and his friends Ronald Weasley and Hermione Granger , all of whom are students at Hogwarts School of Witchcraft and Wizardry .",0.0
87,Q17,how much are the harry potter movies worth,D17-2,"The main story arc concerns Harry's quest to overcome the Dark wizard Lord Voldemort , whose aims are to become immortal, conquer the wizarding world , subjugate non-magical people, and destroy all those who stand in his way, especially Harry Potter.",0.0
88,Q17,how much are the harry potter movies worth,D17-3,"Since the release of the first novel Harry Potter and the Philosopher's Stone on 30 June 1997, the books have gained immense popularity, critical acclaim and commercial success worldwide.",0.0
89,Q17,how much are the harry potter movies worth,D17-4,"The series has also had some share of criticism, including concern for the increasingly dark tone.",0.0
90,Q17,how much are the harry potter movies worth,D17-5,", the book series has sold about 450 million copies, making it the best-selling book series in history , and has been translated into 67 languages .",0.0
91,Q17,how much are the harry potter movies worth,D17-6,The last four books consecutively set records as the fastest-selling books in history.,0.0
92,Q17,how much are the harry potter movies worth,D17-7,"A series of many genres , including fantasy and coming of age (with elements of mystery , thriller , adventure , and romance ), it has many cultural meanings and references.",0.0
93,Q17,how much are the harry potter movies worth,D17-8,"According to Rowling, the main theme is death.",0.0
94,Q17,how much are the harry potter movies worth,D17-9,"There are also many other themes in the series, such as prejudice and corruption.",0.0
95,Q17,how much are the harry potter movies worth,D17-10,The initial major publishers of the books were Bloomsbury in the United Kingdom and Scholastic Press in the United States.,0.0
96,Q17,how much are the harry potter movies worth,D17-11,The books have since been published by many publishers worldwide.,0.0
97,Q17,how much are the harry potter movies worth,D17-12,"The books, with the seventh book split into two parts, have been made into an eight-part film series by Warner Bros. Pictures , the highest-grossing film series of all time.",0.0
98,Q17,how much are the harry potter movies worth,D17-13,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",1.0
99,Q17,how much are the harry potter movies worth,D17-14,"Also due to the success of the books and films, Harry Potter has been used for a theme park, The Wizarding World of Harry Potter in Universal Parks & Resorts 's Islands of Adventure .",0.0
100,Q18,how a rocket engine works,D18-0,RS-68 being tested at NASA's Stennis Space Center.,0.0
101,Q18,how a rocket engine works,D18-1,"The nearly transparent exhaust is due to this engine's exhaust being mostly superheated steam (water vapor from its propellants, hydrogen and oxygen)",0.0
102,Q18,how a rocket engine works,D18-2,Viking 5C rocket engine,0.0
103,Q18,how a rocket engine works,D18-3,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",1.0
104,Q18,how a rocket engine works,D18-4,Rocket engines are reaction engines and obtain thrust in accordance with Newton's third law .,0.0
105,Q18,how a rocket engine works,D18-5,"Since they need no external material to form their jet, rocket engines can be used for spacecraft propulsion as well as terrestrial uses, such as missiles .",0.0
106,Q18,how a rocket engine works,D18-6,"Most rocket engines are internal combustion engines , although non-combusting forms also exist.",0.0
107,Q18,how a rocket engine works,D18-7,"Rocket engines as a group have the highest exhaust velocities, are by far the lightest, but are the least propellant efficient of all types of jet engines.",0.0
108,Q19,how old was britney spears when she recorded hit me baby one more time,D19-0,"""...Baby One More Time"" is a song by American recording artist Britney Spears .",0.0
109,Q19,how old was britney spears when she recorded hit me baby one more time,D19-1,"It served as Spears's debut single and title track from her debut studio album, ...Baby One More Time (1999).",0.0
110,Q19,how old was britney spears when she recorded hit me baby one more time,D19-2,"Written by Max Martin and produced by Martin and Rami , ""...Baby One More Time"" was released on September 30, 1998, by Jive Records .",0.0
111,Q19,how old was britney spears when she recorded hit me baby one more time,D19-3,"After recording and sending a demo tape with an unused song from Toni Braxton , Spears signed a multi-album deal with Jive.",0.0
112,Q19,how old was britney spears when she recorded hit me baby one more time,D19-4,"""...Baby One More Time"" is a teen pop and dance-pop song that refers to a girl who regrets breaking up with her boyfriend.",0.0
113,Q19,how old was britney spears when she recorded hit me baby one more time,D19-5,"The song received generally favorable reviews from critics, who praised its composition.",0.0
114,Q19,how old was britney spears when she recorded hit me baby one more time,D19-6,"""...Baby One More Time"" attained global success, reaching number one in every country it charted.",0.0
115,Q19,how old was britney spears when she recorded hit me baby one more time,D19-7,"It also received numerous certifications around the world, and is one of the best-selling singles of all time , with over 10 million copies sold.",0.0
116,Q19,how old was britney spears when she recorded hit me baby one more time,D19-8,"An accompanying music video, directed by Nigel Dick , portrays Spears as a student from a Catholic high school, who starts to daydream that she is singing and dancing around the school, while watching her love interest from afar.",0.0
117,Q19,how old was britney spears when she recorded hit me baby one more time,D19-9,"The music video was later referenced in the music video of "" If U Seek Amy "" (2008), where Spears's fictional daughter is dressed with a similar schoolgirl outfit while wearing pink ribbons in her hair.",0.0
118,Q19,how old was britney spears when she recorded hit me baby one more time,D19-10,"In 2010, the music video for ""...Baby One More Time"" was voted the third most influential video in the history of pop music, in a poll held by Jam! .",0.0
119,Q19,how old was britney spears when she recorded hit me baby one more time,D19-11,"Spears has performed ""...Baby One More Time"" in a number of live appearances and in all of her concert tours.",0.0
120,Q19,how old was britney spears when she recorded hit me baby one more time,D19-12,It was the encore of the ...Baby One More Time Tour (1999) and Dream Within a Dream Tour (2001); Spears also performed remixed versions of the song during the Oops!...,0.0
121,Q19,how old was britney spears when she recorded hit me baby one more time,D19-13,"I Did It Again World Tour (2000), The Onyx Hotel Tour (2004), The M+M's Tour (2007), The Circus Starring Britney Spears (2009), and the Femme Fatale Tour (2011).",0.0
122,Q19,how old was britney spears when she recorded hit me baby one more time,D19-14,"""...Baby One More Time"" was nominated for a Grammy Award for Best Female Pop Vocal Performance , and has been included in lists by Blender , Rolling Stone and VH1 .",0.0
123,Q19,how old was britney spears when she recorded hit me baby one more time,D19-15,It has been noted for redefining the sound of late 1990s music.,0.0
124,Q19,how old was britney spears when she recorded hit me baby one more time,D19-16,"Spears has named ""...Baby One More Time"" as one of her favorite songs from her career.",0.0
125,Q19,how old was britney spears when she recorded hit me baby one more time,D19-17,It was also the final song to be played on the BBC 's music programme Top of the Pops .,0.0
126,Q21,how are cholera and typhus transmitted and prevented,D21-0,Cholera is an infection in the small intestine caused by the bacterium Vibrio cholerae .,0.0
127,Q21,how are cholera and typhus transmitted and prevented,D21-1,The main symptoms are watery diarrhea and vomiting .,0.0
128,Q21,how are cholera and typhus transmitted and prevented,D21-2,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",1.0
129,Q21,how are cholera and typhus transmitted and prevented,D21-3,"The severity of the diarrhea and vomiting can lead to rapid dehydration and electrolyte imbalance, and death in some cases.",0.0
130,Q21,how are cholera and typhus transmitted and prevented,D21-4,"The primary treatment is oral rehydration therapy , typically with oral rehydration solution , to replace water and electrolytes.",0.0
131,Q21,how are cholera and typhus transmitted and prevented,D21-5,"If this is not tolerated or does not provide improvement fast enough, intravenous fluids can also be used.",0.0
132,Q21,how are cholera and typhus transmitted and prevented,D21-6,Antibacterial drugs are beneficial in those with severe disease to shorten its duration and severity.,0.0
133,Q21,how are cholera and typhus transmitted and prevented,D21-7,"Worldwide, it affects 3–5 million people and causes 100,000–130,000 deaths a year .",0.0
134,Q21,how are cholera and typhus transmitted and prevented,D21-8,Cholera was one of the earliest infections to be studied by epidemiological methods.,0.0
135,Q22,how old is sybil vane in the picture of dorian gray,D22-0,"The Picture of Dorian Gray is the only published novel by Oscar Wilde , appearing as the lead story in Lippincott's Monthly Magazine on 20 June 1890, printed as the July 1890 issue of this magazine.",0.0
136,Q22,how old is sybil vane in the picture of dorian gray,D22-1,"The magazine's editors feared the story was indecent as submitted, so they censored roughly 500 words, without Wilde's knowledge, before publication.",0.0
137,Q22,how old is sybil vane in the picture of dorian gray,D22-2,"But even with that, the story was still greeted with outrage by British reviewers, some of whom suggested that Wilde should be prosecuted on moral grounds, leading Wilde to defend the novel aggressively in letters to the British press.",0.0
138,Q22,how old is sybil vane in the picture of dorian gray,D22-3,"Wilde later revised the story for book publication, making substantial alterations, deleting controversial passages, adding new chapters and including an aphoristic Preface which has since become famous in its own right.",0.0
139,Q22,how old is sybil vane in the picture of dorian gray,D22-4,"The amended version was published by Ward, Lock and Company in April 1891.",0.0
140,Q22,how old is sybil vane in the picture of dorian gray,D22-5,Some scholars believe that Wilde would today have wanted us to read the version he originally submitted to Lippincott's.,0.0
141,Q22,how old is sybil vane in the picture of dorian gray,D22-6,"The novel tells of a young man named Dorian Gray, the subject of a painting by artist Basil Hallward.",0.0
142,Q22,how old is sybil vane in the picture of dorian gray,D22-7,"Basil is impressed by Dorian's beauty and becomes infatuated with him, believing his beauty is responsible for a new mode in his art.",0.0
143,Q22,how old is sybil vane in the picture of dorian gray,D22-8,"Dorian meets Lord Henry Wotton, a friend of Basil's, and becomes enthralled by Lord Henry's world view.",0.0
144,Q22,how old is sybil vane in the picture of dorian gray,D22-9,"Espousing a new hedonism , Lord Henry suggests the only things worth pursuing in life are beauty and fulfilment of the senses.",0.0
145,Q22,how old is sybil vane in the picture of dorian gray,D22-10,"Realizing that one day his beauty will fade, Dorian (whimsically) expresses a desire to sell his soul to ensure the portrait Basil has painted would age rather than he.",0.0
146,Q22,how old is sybil vane in the picture of dorian gray,D22-11,"Dorian's wish is fulfilled, and when he subsequently pursues a life of debauchery, the portrait serves as a reminder of the effect each act has upon his soul , with each sin displayed as a disfigurement of his form, or through a sign of aging.",0.0
147,Q22,how old is sybil vane in the picture of dorian gray,D22-12,The Picture of Dorian Gray is considered a work of classic Gothic fiction with a strong Faustian theme .,0.0
148,Q23,how old is zsa zsa gabor's daughter,D23-0,"Sári Gábor (born 6 February 1917), known as Zsa Zsa Gabor (), is a Hungarian -born American actress who acted in supporting roles in movies, on Broadway , and occasionally on television .",0.0
149,Q23,how old is zsa zsa gabor's daughter,D23-1,Gabor was also a socialite .,0.0
150,Q23,how old is zsa zsa gabor's daughter,D23-2,"She began her stage career in Vienna at age 15, and was crowned Miss Hungary in 1936.",0.0
151,Q23,how old is zsa zsa gabor's daughter,D23-3,"She emigrated to the United States in 1941 and became a sought-after actress with ""European flair and style"", with a personality that ""exuded charm and grace"".",0.0
152,Q23,how old is zsa zsa gabor's daughter,D23-4,Her first movie role was as supporting actress in Lovely to Look At .,0.0
153,Q23,how old is zsa zsa gabor's daughter,D23-5,She later acted in We're Not Married!,0.0
154,Q23,how old is zsa zsa gabor's daughter,D23-6,"and played one of her few leading roles in Moulin Rouge (1952), directed by John Huston , who described her as a ""creditable"" actress.",0.0
155,Q23,how old is zsa zsa gabor's daughter,D23-7,"Besides her film and television appearances, she is best known for having nine husbands, including hotel magnate Conrad Hilton and actor George Sanders .",0.0
156,Q23,how old is zsa zsa gabor's daughter,D23-8,"She once stated, ""Men have always liked me and I have always liked men.",0.0
157,Q23,how old is zsa zsa gabor's daughter,D23-9,"But I like a mannish man, a man who knows how to talk to and treat a woman – not just a man with muscles.""",0.0
158,Q24,how bruce lee died,D24-0,"Bruce Lee (traditional :李小龍; born Lee Jun-fan; 27 November 1940 – 20 July 1973) was a Chinese American martial artist , actor, martial arts instructor, philosopher, and filmmaker.",0.0
159,Q24,how bruce lee died,D24-1,"The founder of Jeet Kune Do , Lee was the son of Cantonese opera star Lee Hoi-Chuen .",0.0
160,Q24,how bruce lee died,D24-2,"He is widely considered by commentators, critics, media and other martial artists to be one of the most influential martial artists of all time, and a pop culture icon of the 20th century.",0.0
161,Q24,how bruce lee died,D24-3,He is often credited with helping to change the way Asians were presented in American films.,0.0
162,Q24,how bruce lee died,D24-4,"Lee was born in Chinatown, San Francisco on 27 November 1940 to parents from Hong Kong and was raised in Kowloon with his family until his late teens.",0.0
163,Q24,how bruce lee died,D24-5,He was introduced to the film industry by his father and appeared in several films as a child actor.,0.0
164,Q24,how bruce lee died,D24-6,"Lee moved to the United States at the age of 18 to receive his higher education, and it was during this time that he began teaching martial arts.",0.0
165,Q24,how bruce lee died,D24-7,"His Hong Kong and Hollywood -produced films elevated the traditional Hong Kong martial arts film to a new level of popularity and acclaim, sparking a surge of interest in Chinese martial arts in the West in the 1970s.",0.0
166,Q24,how bruce lee died,D24-8,The direction and tone of his films changed and influenced martial arts and martial arts films in Hong Kong and the rest of the world.,0.0
167,Q24,how bruce lee died,D24-9,"He is noted for his roles in five feature-length films: Lo Wei 's The Big Boss (1971) and Fist of Fury (1972); Way of the Dragon (1972), directed and written by Lee; Warner Brothers ' Enter the Dragon (1973) and The Game of Death (1978), both directed by Robert Clouse .",0.0
168,Q24,how bruce lee died,D24-10,"Lee became an iconic figure known throughout the world, particularly among the Chinese , as he portrayed Chinese nationalism in his films.",0.0
169,Q24,how bruce lee died,D24-11,"He initially trained in Wing Chun , but later rejected well-defined martial art styles, favouring instead the use of techniques from various sources, in the spirit of his personal martial arts philosophy, which he dubbed Jeet Kune Do (The Way of the Intercepting Fist).",0.0
170,Q24,how bruce lee died,D24-12,Lee held dual citizenship of Hong Kong and the United States.,0.0
171,Q24,how bruce lee died,D24-13,He died in Kowloon Tong on 20 July 1973 at age 32.,0.0
172,Q25,how active can one be with copd,D25-0,"Chronic obstructive pulmonary disease (COPD), also known as chronic obstructive lung disease (COLD), chronic obstructive airway disease (COAD), chronic airflow limitation (CAL) and chronic obstructive respiratory disease (CORD), is the occurrence of chronic bronchitis or emphysema , a pair of commonly co-existing diseases of the lungs in which the airways narrow over time.",0.0
173,Q25,how active can one be with copd,D25-1,"This limits airflow to and from the lungs, causing shortness of breath (dyspnea).",0.0
174,Q25,how active can one be with copd,D25-2,"In clinical practice, COPD is defined by its characteristically low airflow on lung function tests .",0.0
175,Q25,how active can one be with copd,D25-3,"In contrast to asthma , this limitation is poorly reversible and usually gets progressively worse over time.",0.0
176,Q25,how active can one be with copd,D25-4,"COPD is caused by noxious particles or gas, most commonly from tobacco smoking , which triggers an abnormal inflammatory response in the lung.",0.0
177,Q25,how active can one be with copd,D25-5,The diagnosis of COPD requires lung function tests .,0.0
178,Q25,how active can one be with copd,D25-6,"Important management strategies are smoking cessation , vaccinations , rehabilitation , and drug therapy (often using inhalers ).",0.0
179,Q25,how active can one be with copd,D25-7,Some patients go on to require long-term oxygen therapy or lung transplantation .,0.0
180,Q25,how active can one be with copd,D25-8,"Worldwide, COPD ranked as the sixth leading cause of death in 1990.",0.0
181,Q25,how active can one be with copd,D25-9,"It is projected to become the fourth leading cause of death worldwide by 2030, due to an increase in smoking rates and demographic changes in many countries.",0.0
182,Q25,how active can one be with copd,D25-10,"COPD is the third leading cause of death in the U.S., and the economic burden of COPD in the U.S. in 2007 was $42.6 billion in health care costs and lost productivity.",0.0
183,Q26,how did anne frank die,D26-0,"Annelies ""Anne"" Marie Frank (, ?, ; 12 June 1929early March 1945) is one of the most discussed Jewish victims of the Holocaust .",0.0
184,Q26,how did anne frank die,D26-1,Her diary has been the basis for several plays and films.,0.0
185,Q26,how did anne frank die,D26-2,"Born in the city of Frankfurt am Main in Weimar Germany , she lived most of her life in or near Amsterdam , in the Netherlands.",0.0
186,Q26,how did anne frank die,D26-3,"Born a German national, Frank lost her citizenship in 1941.",0.0
187,Q26,how did anne frank die,D26-4,She gained international fame posthumously after her diary was published.,0.0
188,Q26,how did anne frank die,D26-5,It documents her experiences hiding during the German occupation of the Netherlands in World War II .,0.0
189,Q26,how did anne frank die,D26-6,"The Frank family moved from Germany to Amsterdam in 1933, the year the Nazis gained control over Germany.",0.0
